name,latitude,longitude,type,data_source,osm_id,osm_type,industry_type,risk_category
Industrial Facility 00020,26.951066,75.884852,chemical,SYNTHETIC_FALLBACK,,,Power,HIGH
Industrial Facility 00021,20.990607,79.2214,steel_mill,SYNTHETIC_FALLBACK,,,Steel,MEDIUM
Industrial Facility 00022,15.247714,73.947313,refinery,SYNTHETIC_FALLBACK,,,Chemical,LOW
Industrial Facility 00023,25.612029,91.976011,mining,SYNTHETIC_FALLBACK,,,Electronics,MEDIUM
Industrial Facility 00024,20.255229,85.83305,mining,SYNTHETIC_FALLBACK,,,Manufacturing,HIGH
Industrial Facility 00025,22.788955,86.262925,chemical,SYNTHETIC_FALLBACK,,,Electronics,MEDIUM
Industrial Facility 00026,21.385843,81.566623,refinery,SYNTHETIC_FALLBACK,,,Petrochemical,LOW
Industrial Facility 00027,19.102302,72.888962,refinery,SYNTHETIC_FALLBACK,,,Pharmaceutical,LOW
Industrial Facility 00028,28.656586,77.132709,lng_terminal,SYNTHETIC_FALLBACK,,,Power,HIGH
Industrial Facility 00029,22.717349,88.433914,mining,SYNTHETIC_FALLBACK,,,Food Processing,LOW
Industrial Facility 00030,13.127868,80.411636,mining,SYNTHETIC_FALLBACK,,,Steel,LOW
Industrial Facility 00031,17.496799,78.384848,lng_terminal,SYNTHETIC_FALLBACK,,,Pharmaceutical,HIGH
Industrial Facility 00032,23.161038,72.528844,power_plant,SYNTHETIC_FALLBACK,,,Petrochemical,HIGH
Industrial Facility 00033,27.040488,75.913024,steel_mill,SYNTHETIC_FALLBACK,,,Chemical,HIGH
Industrial Facility 00034,21.039654,79.119485,power_plant,SYNTHETIC_FALLBACK,,,Manufacturing,HIGH
Industrial Facility 00035,15.194874,74.068011,lng_terminal,SYNTHETIC_FALLBACK,,,Steel,LOW
Industrial Facility 00036,25.499816,91.871586,lng_terminal,SYNTHETIC_FALLBACK,,,Automobile,MEDIUM
Industrial Facility 00037,20.324164,85.717192,steel_mill,SYNTHETIC_FALLBACK,,,Chemical,MEDIUM
Industrial Facility 00038,22.854199,86.132681,mining,SYNTHETIC_FALLBACK,,,Pharmaceutical,MEDIUM
Industrial Facility 00039,21.210122,81.769485,steel_mill,SYNTHETIC_FALLBACK,,,Manufacturing,HIGH
Industrial Facility 00040,18.960837,72.950749,cement,SYNTHETIC_FALLBACK,,,Textile,LOW
Industrial Facility 00041,28.615734,77.333258,lng_terminal,SYNTHETIC_FALLBACK,,,Manufacturing,HIGH
Industrial Facility 00042,22.715735,88.307171,steel_mill,SYNTHETIC_FALLBACK,,,Steel,HIGH
Industrial Facility 00043,13.046357,80.185584,cement,SYNTHETIC_FALLBACK,,,Chemical,HIGH
Industrial Facility 00044,17.509722,78.447678,steel_mill,SYNTHETIC_FALLBACK,,,Power,MEDIUM
Industrial Facility 00045,22.977022,72.453132,cement,SYNTHETIC_FALLBACK,,,Manufacturing,HIGH
Industrial Facility 00046,26.92977,75.91049,cement,SYNTHETIC_FALLBACK,,,Steel,MEDIUM
Industrial Facility 00047,21.234981,79.016802,lng_terminal,SYNTHETIC_FALLBACK,,,Pharmaceutical,HIGH
Industrial Facility 00048,15.299438,74.017516,cement,SYNTHETIC_FALLBACK,,,Power,HIGH
Industrial Facility 00049,25.649377,91.999446,cement,SYNTHETIC_FALLBACK,,,Textile,HIGH
Industrial Facility 00050,20.449166,85.845373,power_plant,SYNTHETIC_FALLBACK,,,Pharmaceutical,HIGH
Industrial Facility 00051,22.665371,86.323701,power_plant,SYNTHETIC_FALLBACK,,,Textile,LOW
Industrial Facility 00052,21.178725,81.677407,steel_mill,SYNTHETIC_FALLBACK,,,Pharmaceutical,MEDIUM
Industrial Facility 00053,18.972863,72.885537,steel_mill,SYNTHETIC_FALLBACK,,,Automobile,MEDIUM
Industrial Facility 00054,28.64442,77.299414,refinery,SYNTHETIC_FALLBACK,,,Manufacturing,LOW
Industrial Facility 00055,22.618006,88.41691,lng_terminal,SYNTHETIC_FALLBACK,,,Automobile,LOW
Industrial Facility 00056,13.150829,80.351575,lng_terminal,SYNTHETIC_FALLBACK,,,Electronics,HIGH
Industrial Facility 00057,17.335714,78.570122,lng_terminal,SYNTHETIC_FALLBACK,,,Steel,HIGH
Industrial Facility 00058,22.917232,72.587575,steel_mill,SYNTHETIC_FALLBACK,,,Chemical,LOW
Industrial Facility 00059,26.80647,75.732954,mining,SYNTHETIC_FALLBACK,,,Chemical,HIGH
Industrial Facility 00060,21.003672,79.081693,lng_terminal,SYNTHETIC_FALLBACK,,,Steel,HIGH
Industrial Facility 00061,15.352401,74.076737,mining,SYNTHETIC_FALLBACK,,,Chemical,HIGH
Industrial Facility 00062,25.617777,91.951813,power_plant,SYNTHETIC_FALLBACK,,,Pharmaceutical,HIGH
Industrial Facility 00063,20.366295,85.735776,cement,SYNTHETIC_FALLBACK,,,Manufacturing,HIGH
Industrial Facility 00064,22.771751,86.285863,refinery,SYNTHETIC_FALLBACK,,,Food Processing,LOW
Industrial Facility 00065,21.218339,81.596185,refinery,SYNTHETIC_FALLBACK,,,Steel,LOW
Industrial Facility 00066,19.216134,72.808995,lng_terminal,SYNTHETIC_FALLBACK,,,Automobile,HIGH
Industrial Facility 00067,28.514072,77.269154,mining,SYNTHETIC_FALLBACK,,,Power,HIGH
Industrial Facility 00068,22.68517,88.384263,lng_terminal,SYNTHETIC_FALLBACK,,,Food Processing,HIGH
Industrial Facility 00069,13.025353,80.351547,lng_terminal,SYNTHETIC_FALLBACK,,,Manufacturing,HIGH
Industrial Facility 00070,17.398872,78.423081,chemical,SYNTHETIC_FALLBACK,,,Manufacturing,LOW
Industrial Facility 00071,22.879206,72.680942,chemical,SYNTHETIC_FALLBACK,,,Automobile,MEDIUM
Industrial Facility 00072,27.035472,75.698835,chemical,SYNTHETIC_FALLBACK,,,Petrochemical,LOW
Industrial Facility 00073,21.27582,78.947218,steel_mill,SYNTHETIC_FALLBACK,,,Food Processing,MEDIUM
Industrial Facility 00074,15.416568,73.919927,lng_terminal,SYNTHETIC_FALLBACK,,,Petrochemical,LOW
Industrial Facility 00075,25.449313,91.916641,chemical,SYNTHETIC_FALLBACK,,,Food Processing,MEDIUM
Industrial Facility 00076,20.338597,85.812698,cement,SYNTHETIC_FALLBACK,,,Electronics,HIGH
Industrial Facility 00077,22.787536,86.324557,steel_mill,SYNTHETIC_FALLBACK,,,Manufacturing,MEDIUM
Industrial Facility 00078,21.317511,81.591344,mining,SYNTHETIC_FALLBACK,,,Manufacturing,MEDIUM
Industrial Facility 00079,19.018296,72.730234,chemical,SYNTHETIC_FALLBACK,,,Chemical,HIGH
Industrial Facility 00080,28.661648,77.348529,refinery,SYNTHETIC_FALLBACK,,,Automobile,MEDIUM
Industrial Facility 00081,22.446543,88.364704,mining,SYNTHETIC_FALLBACK,,,Textile,LOW
Industrial Facility 00082,12.976077,80.339918,mining,SYNTHETIC_FALLBACK,,,Food Processing,MEDIUM
Industrial Facility 00083,17.345428,78.425642,lng_terminal,SYNTHETIC_FALLBACK,,,Textile,LOW
Industrial Facility 00084,23.125896,72.512847,steel_mill,SYNTHETIC_FALLBACK,,,Textile,MEDIUM
Industrial Facility 00085,27.045349,75.743059,chemical,SYNTHETIC_FALLBACK,,,Pharmaceutical,MEDIUM
Industrial Facility 00086,20.998763,78.946718,chemical,SYNTHETIC_FALLBACK,,,Petrochemical,MEDIUM
Industrial Facility 00087,15.218613,74.006985,power_plant,SYNTHETIC_FALLBACK,,,Food Processing,LOW
Industrial Facility 00088,25.702624,91.909539,chemical,SYNTHETIC_FALLBACK,,,Textile,LOW
Industrial Facility 00089,20.314662,85.850871,steel_mill,SYNTHETIC_FALLBACK,,,Steel,HIGH
Industrial Facility 00090,22.72433,86.141285,mining,SYNTHETIC_FALLBACK,,,Petrochemical,LOW
Industrial Facility 00091,21.34028,81.483586,chemical,SYNTHETIC_FALLBACK,,,Steel,HIGH
Industrial Facility 00092,19.213062,72.887125,chemical,SYNTHETIC_FALLBACK,,,Petrochemical,LOW
Industrial Facility 00093,28.574337,77.349745,power_plant,SYNTHETIC_FALLBACK,,,Petrochemical,HIGH
Industrial Facility 00094,22.600003,88.259953,mining,SYNTHETIC_FALLBACK,,,Electronics,LOW
Industrial Facility 00095,13.222208,80.41566,refinery,SYNTHETIC_FALLBACK,,,Steel,LOW
Industrial Facility 00096,17.36513,78.430619,chemical,SYNTHETIC_FALLBACK,,,Food Processing,LOW
Industrial Facility 00097,22.949556,72.709632,cement,SYNTHETIC_FALLBACK,,,Food Processing,MEDIUM
Industrial Facility 00098,26.849791,75.68368,mining,SYNTHETIC_FALLBACK,,,Petrochemical,MEDIUM
Industrial Facility 00099,21.12159,78.933019,refinery,SYNTHETIC_FALLBACK,,,Pharmaceutical,LOW
Industrial Facility 00100,15.264724,73.995861,steel_mill,SYNTHETIC_FALLBACK,,,Textile,LOW
Industrial Facility 00101,25.513927,91.77159,refinery,SYNTHETIC_FALLBACK,,,Electronics,MEDIUM
Industrial Facility 00102,20.429907,85.731768,refinery,SYNTHETIC_FALLBACK,,,Pharmaceutical,HIGH
Industrial Facility 00103,22.667939,86.266541,refinery,SYNTHETIC_FALLBACK,,,Petrochemical,HIGH
Industrial Facility 00104,21.205517,81.756871,lng_terminal,SYNTHETIC_FALLBACK,,,Manufacturing,LOW
Industrial Facility 00105,18.967495,73.018402,lng_terminal,SYNTHETIC_FALLBACK,,,Petrochemical,LOW
Industrial Facility 00106,28.569507,77.348518,chemical,SYNTHETIC_FALLBACK,,,Steel,LOW
Industrial Facility 00107,22.551007,88.424246,chemical,SYNTHETIC_FALLBACK,,,Petrochemical,LOW
Industrial Facility 00108,13.040209,80.16988,chemical,SYNTHETIC_FALLBACK,,,Power,HIGH
Industrial Facility 00109,17.378114,78.574659,mining,SYNTHETIC_FALLBACK,,,Automobile,MEDIUM
Industrial Facility 00110,22.885481,72.448605,chemical,SYNTHETIC_FALLBACK,,,Food Processing,LOW
Industrial Facility 00111,26.913482,75.651511,mining,SYNTHETIC_FALLBACK,,,Electronics,HIGH
Industrial Facility 00112,21.002285,78.930066,steel_mill,SYNTHETIC_FALLBACK,,,Automobile,HIGH
Industrial Facility 00113,15.348286,73.989305,steel_mill,SYNTHETIC_FALLBACK,,,Electronics,MEDIUM
Industrial Facility 00114,25.635803,91.781183,lng_terminal,SYNTHETIC_FALLBACK,,,Electronics,MEDIUM
Industrial Facility 00115,20.249239,85.948127,cement,SYNTHETIC_FALLBACK,,,Textile,HIGH
Industrial Facility 00116,22.917858,86.110007,refinery,SYNTHETIC_FALLBACK,,,Textile,MEDIUM
Industrial Facility 00117,21.146477,81.537339,mining,SYNTHETIC_FALLBACK,,,Chemical,MEDIUM
Industrial Facility 00118,18.958435,72.840826,refinery,SYNTHETIC_FALLBACK,,,Chemical,HIGH
Industrial Facility 00119,28.638661,77.298187,refinery,SYNTHETIC_FALLBACK,,,Power,HIGH
Industrial Facility 00120,22.63674,88.406892,power_plant,SYNTHETIC_FALLBACK,,,Pharmaceutical,MEDIUM
Industrial Facility 00121,12.958127,80.129911,lng_terminal,SYNTHETIC_FALLBACK,,,Pharmaceutical,HIGH
Industrial Facility 00122,17.274508,78.411394,cement,SYNTHETIC_FALLBACK,,,Automobile,LOW
Industrial Facility 00123,22.960487,72.444457,refinery,SYNTHETIC_FALLBACK,,,Textile,HIGH
Industrial Facility 00124,27.057919,75.798854,refinery,SYNTHETIC_FALLBACK,,,Manufacturing,HIGH
Industrial Facility 00125,21.083366,79.227327,lng_terminal,SYNTHETIC_FALLBACK,,,Electronics,LOW
Industrial Facility 00126,15.412865,73.922583,cement,SYNTHETIC_FALLBACK,,,Steel,LOW
Industrial Facility 00127,25.449984,91.918095,lng_terminal,SYNTHETIC_FALLBACK,,,Food Processing,LOW
Industrial Facility 00128,20.360112,85.671978,lng_terminal,SYNTHETIC_FALLBACK,,,Textile,HIGH
Industrial Facility 00129,22.799835,86.34753,steel_mill,SYNTHETIC_FALLBACK,,,Petrochemical,HIGH
Industrial Facility 00130,21.303779,81.502565,chemical,SYNTHETIC_FALLBACK,,,Power,MEDIUM
Industrial Facility 00131,18.978257,72.724609,lng_terminal,SYNTHETIC_FALLBACK,,,Chemical,LOW
Industrial Facility 00132,28.741602,77.28356,lng_terminal,SYNTHETIC_FALLBACK,,,Electronics,LOW
Industrial Facility 00133,22.699595,88.21995,chemical,SYNTHETIC_FALLBACK,,,Food Processing,HIGH
Industrial Facility 00134,13.053295,80.379427,lng_terminal,SYNTHETIC_FALLBACK,,,Petrochemical,HIGH
Industrial Facility 00135,17.462631,78.445903,refinery,SYNTHETIC_FALLBACK,,,Food Processing,MEDIUM
Industrial Facility 00136,23.145154,72.561359,refinery,SYNTHETIC_FALLBACK,,,Electronics,LOW
Industrial Facility 00137,26.767142,75.853386,power_plant,SYNTHETIC_FALLBACK,,,Manufacturing,LOW
Industrial Facility 00138,21.21303,79.103379,refinery,SYNTHETIC_FALLBACK,,,Textile,HIGH
Industrial Facility 00139,15.35019,74.099626,chemical,SYNTHETIC_FALLBACK,,,Textile,LOW
Industrial Facility 00140,25.723096,91.883929,steel_mill,SYNTHETIC_FALLBACK,,,Chemical,LOW
Industrial Facility 00141,20.354408,85.811508,chemical,SYNTHETIC_FALLBACK,,,Textile,LOW
Industrial Facility 00142,22.691609,86.197748,chemical,SYNTHETIC_FALLBACK,,,Food Processing,MEDIUM
Industrial Facility 00143,21.10683,81.499308,power_plant,SYNTHETIC_FALLBACK,,,Textile,LOW
Industrial Facility 00144,19.015268,72.931149,lng_terminal,SYNTHETIC_FALLBACK,,,Automobile,MEDIUM
Industrial Facility 00145,28.607757,77.12071,steel_mill,SYNTHETIC_FALLBACK,,,Food Processing,LOW
Industrial Facility 00146,22.526649,88.42397,steel_mill,SYNTHETIC_FALLBACK,,,Automobile,LOW
Industrial Facility 00147,13.107249,80.158882,power_plant,SYNTHETIC_FALLBACK,,,Petrochemical,LOW
Industrial Facility 00148,17.280581,78.469927,cement,SYNTHETIC_FALLBACK,,,Manufacturing,HIGH
Industrial Facility 00149,22.977809,72.489027,lng_terminal,SYNTHETIC_FALLBACK,,,Chemical,MEDIUM
Industrial Facility 00150,26.766251,75.911713,power_plant,SYNTHETIC_FALLBACK,,,Chemical,LOW
